Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
APP,Applovin Corporation Class A Common Stock,$51.27,-0.61,-1.176%,19268626449.00,United States,2021,567373,Technology,EDP Services
ARCC,Ares Capital Corporation Common Stock,$21.41,0.29,1.373%,10465142357.00,United States,2004,3585165,Finance,Finance/Investors Services
ARGX,argenx SE American Depositary Shares,$328.20,-0.57,-0.173%,17801122304.00,Netherlands,2017,210420,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASML,ASML Holding N.V. New York Registry Shares,$610.93,-14.37,-2.298%,245961403430.00,Netherlands,1995,840851,Technology,Industrial Machinery/Components
ATVI,Activision Blizzard Inc. Common Stock,$80.09,-0.02,-0.025%,62412593345.00,United States,,3146564,Technology,Computer Software: Prepackaged Software
AVGO,Broadcom Inc. Common Stock,$587.00,-16.05,-2.661%,239661046790.00,United States,2009,2045821,Technology,Semiconductors
AZN,AstraZeneca PLC American Depositary Shares,$71.14,0.13,0.183%,220456291786.00,United Kingdom,,9081998,Health Care,Biotechnology: Pharmaceutical Preparations
AZPN,Aspen Technology Inc. Common Stock,$165.00,-2.80,-1.669%,10999224390.00,United States,1994,219643,Technology,EDP Services
BGNE,BeiGene Ltd. American Depositary Shares,$196.57,-17.02,-7.969%,20175865386.00,Cayman Islands,2016,284686,Health Care,Biotechnology: Pharmaceutical Preparations
BIDU,Baidu Inc. ADS,$134.76,-0.95,-0.70%,46566387132.00,China,2005,2537560,Technology,Computer Software: Programming Data Processing
BIIB,Biogen Inc. Common Stock,$214.75,3.11,1.469%,31560259797.00,United States,,1410674,Health Care,Biotechnology: Pharmaceutical Preparations
BKNG,Booking Holdings Inc. Common Stock,$2167.42,-45.78,-2.068%,88620823069.00,United States,,301640,Transportation,Other Consumer Services
BKR,Baker Hughes Company Class A Common Stock,$37.52,1.40,3.876%,38496671001.00,United States,,12764069,Energy,Oilfield Services/Equipment
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$85.99,2.64,3.167%,15824925610.00,United States,1999,1739046,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,$170.26,1.15,0.68%,42021497390.00,Germany,2019,885714,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BSY,Bentley Systems Incorporated Class B Common Stock,$42.63,-0.53,-1.228%,12102404119.00,United States,2020,769474,Technology,Retail: Computer Software & Peripheral Equipment
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$48.07,0.01,0.021%,21956982835.00,United Kingdom,,1469927,Consumer Non-Durables,Beverages (Production/Distribution)
CDNS,Cadence Design Systems Inc. Common Stock,$158.24,-4.89,-2.998%,44050238811.00,United States,,1204961,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$175.55,-1.77,-0.998%,23689476780.00,United States,2013,646511,Technology,EDP Services
CEG,Constellation Energy Corporation Common Stock ,$64.02,3.11,5.106%,20913025247.00,United States,,4762240,Energy,Power Generation
CERN,Cerner Corporation Common Stock,$93.40,-0.09,-0.096%,27398338006.00,United States,1986,1161137,Health Care,Managed Health Care
